chId	chId2	mId	lines
u816	u820	m52	['L172516', 'L172517', 'L172518', 'L172519']
u816	u820	m52	['L172523', 'L172524', 'L172525', 'L172526', 'L172527', 'L172528', 'L172529']
u817	u820	m52	['L172074', 'L172075', 'L172076', 'L172077']
u817	u820	m52	['L172078', 'L172079', 'L172080', 'L172081', 'L172082', 'L172083', 'L172084', 'L172085', 'L172086', 'L172087', 'L172088', 'L172089', 'L172090', 'L172091', 'L172092']
u817	u820	m52	['L172093', 'L172094', 'L172095']
u817	u820	m52	['L172118', 'L172119', 'L172120']
u817	u820	m52	['L172138', 'L172139', 'L172140', 'L172141', 'L172142']
u817	u820	m52	['L172167', 'L172168', 'L172169']
u817	u820	m52	['L172348', 'L172349']
u817	u820	m52	['L172350', 'L172351']
u817	u820	m52	['L172352', 'L172353', 'L172354', 'L172355', 'L172356']
u818	u821	m52	['L172364', 'L172365', 'L172366', 'L172367']
u818	u821	m52	['L172370', 'L172371']
u818	u821	m52	['L172372', 'L172373', 'L172374', 'L172375']
u818	u820	m52	['L172148', 'L172149']
u818	u820	m52	['L172150', 'L172151', 'L172152', 'L172153', 'L172154', 'L172155', 'L172156', 'L172157', 'L172158', 'L172159', 'L172160', 'L172161', 'L172162', 'L172163', 'L172164', 'L172165', 'L172166']
u818	u820	m52	['L172171', 'L172172', 'L172173', 'L172174', 'L172175', 'L172176', 'L172177', 'L172178', 'L172179', 'L172180', 'L172181', 'L172182']
u818	u820	m52	['L172183', 'L172184', 'L172185', 'L172186', 'L172187', 'L172188', 'L172189', 'L172190', 'L172191', 'L172192', 'L172193', 'L172194', 'L172195']
u818	u820	m52	['L172196', 'L172197', 'L172198', 'L172199', 'L172200', 'L172201']
u818	u820	m52	['L172202', 'L172203', 'L172204', 'L172205', 'L172206', 'L172207', 'L172208', 'L172209', 'L172210', 'L172211', 'L172212']
u818	u820	m52	['L172213', 'L172214', 'L172215']
u818	u820	m52	['L172216', 'L172217']
u818	u820	m52	['L172275', 'L172276', 'L172277']
u818	u820	m52	['L172280', 'L172281']
u818	u820	m52	['L172291', 'L172292']
u818	u820	m52	['L172294', 'L172295']
u818	u820	m52	['L172402', 'L172403']
u818	u820	m52	['L172442', 'L172443', 'L172444', 'L172445', 'L172446']
u818	u820	m52	['L172447', 'L172448', 'L172449', 'L172450', 'L172451', 'L172452', 'L172453', 'L172454', 'L172455', 'L172456', 'L172457', 'L172458', 'L172459', 'L172460']
u818	u820	m52	['L172464', 'L172465', 'L172466', 'L172467', 'L172468', 'L172469', 'L172470', 'L172471', 'L172472']
u818	u822	m52	['L172144', 'L172145', 'L172146']
u818	u822	m52	['L172477', 'L172478', 'L172479', 'L172480', 'L172481', 'L172482']
u819	u820	m52	['L172100', 'L172101', 'L172102', 'L172103']
u819	u820	m52	['L172107', 'L172108', 'L172109', 'L172110', 'L172111']
u820	u823	m52	['L172072', 'L172073']
u820	u823	m52	['L172252', 'L172253']
u820	u823	m52	['L172322', 'L172323']
u820	u823	m52	['L172376', 'L172377', 'L172378', 'L172379']
u820	u823	m52	['L172386', 'L172387']
u820	u822	m52	['L172059', 'L172060', 'L172061', 'L172062', 'L172063', 'L172064', 'L172065', 'L172066', 'L172067']
u820	u822	m52	['L172068', 'L172069', 'L172070', 'L172071']
u820	u822	m52	['L172228', 'L172229', 'L172230']
u820	u822	m52	['L172235', 'L172236']
u820	u822	m52	['L172239', 'L172240', 'L172241', 'L172242', 'L172243', 'L172244', 'L172245']
u820	u822	m52	['L172255', 'L172256', 'L172257', 'L172258', 'L172259']
u820	u822	m52	['L172318', 'L172319', 'L172320', 'L172321']
u820	u822	m52	['L172326', 'L172327', 'L172328', 'L172329', 'L172330', 'L172331', 'L172332', 'L172333']
u820	u822	m52	['L172334', 'L172335']
u820	u821	m52	['L172045', 'L172046']
u820	u821	m52	['L172049', 'L172050', 'L172051', 'L172052', 'L172053', 'L172054', 'L172055', 'L172056']
u820	u821	m52	['L172096', 'L172097', 'L172098', 'L172099']
u820	u821	m52	['L172112', 'L172113', 'L172114', 'L172115', 'L172116', 'L172117']
u820	u821	m52	['L172231', 'L172232', 'L172233', 'L172234']
u820	u821	m52	['L172315', 'L172316', 'L172317']
u820	u821	m52	['L172324', 'L172325']
u820	u821	m52	['L172340', 'L172341', 'L172342', 'L172343']
u820	u821	m52	['L172345', 'L172346', 'L172347']
u820	u821	m52	['L172388', 'L172389', 'L172390', 'L172391']
u820	u821	m52	['L172392', 'L172393']
u820	u821	m52	['L172394', 'L172395', 'L172396', 'L172397', 'L172398', 'L172399']
u820	u821	m52	['L172520', 'L172521']
u821	u822	m52	['L172019', 'L172020', 'L172021', 'L172022']
u821	u822	m52	['L172223', 'L172224', 'L172225', 'L172226', 'L172227']
u821	u822	m52	['L172237', 'L172238']
u821	u822	m52	['L172247', 'L172248']
u821	u822	m52	['L172305', 'L172306', 'L172307']
u822	u823	m52	['L172026', 'L172027', 'L172028', 'L172029']
u822	u823	m52	['L172249', 'L172250', 'L172251']
u822	u823	m52	['L172296', 'L172297', 'L172298', 'L172299']
u822	u823	m52	['L172308', 'L172309']
u2708	u2728	m177	['L503666', 'L503667', 'L503668']
u2708	u2728	m177	['L503884', 'L503885', 'L503886', 'L503887']
u2709	u2725	m177	['L503915', 'L503916', 'L503917', 'L503918', 'L503919', 'L503920']
u2710	u2727	m177	['L503424', 'L503425']
u2710	u2727	m177	['L503779', 'L503780']
u2710	u2727	m177	['L503787', 'L503788', 'L503789', 'L503790', 'L503791', 'L503792']
u2710	u2727	m177	['L503952', 'L503953', 'L503954']
u2710	u2727	m177	['L503990', 'L503991', 'L503992']
u2710	u2720	m177	['L503505', 'L503506']
u2710	u2720	m177	['L503513', 'L503514', 'L503515']
u2710	u2720	m177	['L503529', 'L503530', 'L503531']
u2710	u2716	m177	['L503436', 'L503437']
u2710	u2716	m177	['L503438', 'L503439']
u2710	u2716	m177	['L503441', 'L503442']
u2710	u2716	m177	['L503443', 'L503444', 'L503445']
u2710	u2716	m177	['L503446', 'L503447']
u2710	u2716	m177	['L503633', 'L503634']
u2710	u2716	m177	['L503641', 'L503642', 'L503643']
u2710	u2716	m177	['L503672', 'L503673']
u2710	u2716	m177	['L503692', 'L503693']
u2710	u2716	m177	['L503696', 'L503697']
u2710	u2721	m177	['L503540', 'L503541']
u2710	u2721	m177	['L503598', 'L503599', 'L503600', 'L503601', 'L503602']
u2710	u2721	m177	['L503674', 'L503675']
u2710	u2718	m177	['L503535', 'L503536', 'L503537', 'L503538', 'L503539']
u2710	u2718	m177	['L503590', 'L503591']
u2710	u2718	m177	['L503596', 'L503597']
u2710	u2718	m177	['L503708', 'L503709']
u2711	u2723	m177	['L503386', 'L503387', 'L503388']
u2711	u2723	m177	['L503408', 'L503409', 'L503410', 'L503411', 'L503412']
u2711	u2723	m177	['L503416', 'L503417']
u2711	u2723	m177	['L503426', 'L503427']
u2711	u2723	m177	['L503448', 'L503449']
u2711	u2723	m177	['L503572', 'L503573', 'L503574', 'L503575']
u2711	u2723	m177	['L503586', 'L503587']
u2711	u2723	m177	['L503636', 'L503637', 'L503638', 'L503639', 'L503640']
u2711	u2723	m177	['L503649', 'L503650']
u2711	u2723	m177	['L503651', 'L503652']
u2711	u2723	m177	['L503770', 'L503771']
u2711	u2723	m177	['L503814', 'L503815']
u2711	u2723	m177	['L503818', 'L503819', 'L503820']
u2711	u2723	m177	['L503867', 'L503868', 'L503869', 'L503870', 'L503871']
u2711	u2723	m177	['L504014', 'L504015']
u2711	u2727	m177	['L503577', 'L503578', 'L503579']
u2711	u2727	m177	['L503582', 'L503583', 'L503584']
u2711	u2727	m177	['L503816', 'L503817']
u2712	u2716	m177	['L503431', 'L503432', 'L503433']
u2712	u2716	m177	['L503457', 'L503458', 'L503459']
u2712	u2716	m177	['L503837', 'L503838']
u2712	u2716	m177	['L504010', 'L504011', 'L504012', 'L504013']
u2712	u2715	m177	['L503972', 'L503973', 'L503974']
u2712	u2715	m177	['L503978', 'L503979', 'L503980', 'L503981', 'L503982']
u2713	u2724	m177	['L504018', 'L504019', 'L504020', 'L504021', 'L504022', 'L504023']
u2714	u2720	m177	['L503370', 'L503371']
u2714	u2720	m177	['L503507', 'L503508', 'L503509', 'L503510']
u2714	u2720	m177	['L503548', 'L503549']
u2714	u2720	m177	['L503822', 'L503823', 'L503824']
u2714	u2720	m177	['L503876', 'L503877']
u2715	u2722	m177	['L503927', 'L503928', 'L503929', 'L503930', 'L503931', 'L503932', 'L503933']
u2716	u2721	m177	['L503497', 'L503498']
u2716	u2721	m177	['L503611', 'L503612']
u2716	u2721	m177	['L503625', 'L503626', 'L503627']
u2716	u2721	m177	['L503795', 'L503796']
u2716	u2721	m177	['L503890', 'L503891']
u2716	u2720	m177	['L503520', 'L503521', 'L503522']
u2716	u2720	m177	['L503524', 'L503525', 'L503526', 'L503527']
u2716	u2720	m177	['L503544', 'L503545']
u2716	u2720	m177	['L503552', 'L503553', 'L503554']
u2716	u2720	m177	['L503735', 'L503736', 'L503737', 'L503738', 'L503739']
u2716	u2726	m177	['L503565', 'L503566', 'L503567', 'L503568', 'L503569', 'L503570', 'L503571']
u2716	u2730	m177	['L503840', 'L503841']
u2716	u2730	m177	['L503846', 'L503847', 'L503848', 'L503849', 'L503850', 'L503851', 'L503852', 'L503853']
u2716	u2718	m177	['L503489', 'L503490']
u2716	u2718	m177	['L503500', 'L503501']
u2716	u2718	m177	['L503609', 'L503610']
u2716	u2718	m177	['L503628', 'L503629', 'L503630']
u2716	u2718	m177	['L503677', 'L503678']
u2716	u2718	m177	['L503681', 'L503682']
u2716	u2718	m177	['L503683', 'L503684', 'L503685', 'L503686', 'L503687', 'L503688', 'L503689']
u2716	u2718	m177	['L503747', 'L503748']
u2716	u2718	m177	['L503797', 'L503798']
u2716	u2718	m177	['L503962', 'L503963', 'L503964']
u2717	u2729	m177	['L503397', 'L503398', 'L503399', 'L503400', 'L503401', 'L503402', 'L503403', 'L503404', 'L503405', 'L503406']
u2718	u2721	m177	['L503484', 'L503485']
u2718	u2721	m177	['L503532', 'L503533']
u2718	u2721	m177	['L503542', 'L503543']
u2718	u2721	m177	['L503592', 'L503593']
u2718	u2721	m177	['L503607', 'L503608']
u2718	u2721	m177	['L503631', 'L503632']
u2718	u2721	m177	['L503644', 'L503645']
u2718	u2721	m177	['L503654', 'L503655']
u2718	u2721	m177	['L503656', 'L503657']
u2718	u2721	m177	['L503658', 'L503659', 'L503660', 'L503661', 'L503662', 'L503663', 'L503664']
u2718	u2721	m177	['L503694', 'L503695']
u2718	u2721	m177	['L503700', 'L503701']
u2718	u2721	m177	['L504004', 'L504005']
u2719	u2727	m177	['L503775', 'L503776', 'L503777']
u2719	u2727	m177	['L503808', 'L503809']
u2719	u2727	m177	['L503881', 'L503882', 'L503883']
u2720	u2721	m177	['L503752', 'L503753']
u2720	u2721	m177	['L503757', 'L503758']
u2720	u2721	m177	['L503938', 'L503939', 'L503940', 'L503941', 'L503942']
u3666	u3674	m242	['L41058', 'L41059', 'L41060', 'L41061', 'L41062', 'L41063']
u3666	u3674	m242	['L41064', 'L41065']
u3666	u3674	m242	['L41066', 'L41067']
u3666	u3674	m242	['L41090', 'L41091']
u3667	u3670	m242	['L41116', 'L41117']
u3667	u3670	m242	['L41122', 'L41123']
u3667	u3670	m242	['L41128', 'L41129', 'L41130']
u3667	u3670	m242	['L41131', 'L41132']
u3667	u3675	m242	['L41197', 'L41198']
u3667	u3675	m242	['L41199', 'L41200', 'L41201']
u3667	u3675	m242	['L41241', 'L41242']
u3667	u3675	m242	['L41347', 'L41348']
u3667	u3675	m242	['L41355', 'L41356']
u3667	u3675	m242	['L41366', 'L41367', 'L41368']
u3667	u3675	m242	['L41372', 'L41373']
u3667	u3675	m242	['L41382', 'L41383']
u3667	u3675	m242	['L41393', 'L41394', 'L41395', 'L41396', 'L41397']
u3667	u3675	m242	['L41582', 'L41583', 'L41584', 'L41585', 'L41586']
u3667	u3675	m242	['L41590', 'L41591', 'L41592']
u3667	u3669	m242	['L41193', 'L41194', 'L41195']
u3667	u3669	m242	['L41221', 'L41222']
u3667	u3669	m242	['L41234', 'L41235', 'L41236', 'L41237', 'L41238', 'L41239']
u3667	u3669	m242	['L41243', 'L41244', 'L41245']
u3667	u3669	m242	['L41247', 'L41248']
u3667	u3669	m242	['L41314', 'L41315', 'L41316']
u3667	u3669	m242	['L41317', 'L41318']
u3667	u3669	m242	['L41333', 'L41334']
u3667	u3669	m242	['L41339', 'L41340']
u3667	u3669	m242	['L41341', 'L41342']
u3667	u3669	m242	['L41344', 'L41345', 'L41346']
u3667	u3669	m242	['L41350', 'L41351']
u3667	u3669	m242	['L41353', 'L41354']
u3667	u3669	m242	['L41370', 'L41371']
u3667	u3669	m242	['L41380', 'L41381']
u3667	u3669	m242	['L41384', 'L41385', 'L41386']
u3667	u3669	m242	['L41388', 'L41389']
u3667	u3669	m242	['L41399', 'L41400']
u3667	u3669	m242	['L41405', 'L41406', 'L41407', 'L41408', 'L41409', 'L41410', 'L41411', 'L41412']
u3667	u3669	m242	['L41433', 'L41434']
u3667	u3669	m242	['L41445', 'L41446', 'L41447']
u3667	u3669	m242	['L41485', 'L41486']
u3667	u3669	m242	['L41494', 'L41495', 'L41496', 'L41497']
u3667	u3669	m242	['L41559', 'L41560']
u3667	u3669	m242	['L41620', 'L41621']
u3667	u3669	m242	['L41632', 'L41633']
u3667	u3674	m242	['L41511', 'L41512']
u3667	u3674	m242	['L41513', 'L41514']
u3667	u3674	m242	['L41518', 'L41519']
u3667	u3674	m242	['L41524', 'L41525']
u3667	u3674	m242	['L41531', 'L41532', 'L41533']
u3667	u3674	m242	['L41577', 'L41578', 'L41579']
u3667	u3674	m242	['L41588', 'L41589']
u3667	u3674	m242	['L41593', 'L41594', 'L41595', 'L41596']
u3667	u3674	m242	['L41597', 'L41598', 'L41599', 'L41600', 'L41601', 'L41602']
u3667	u3674	m242	['L41604', 'L41605']
u3668	u3672	m242	['L41262', 'L41263', 'L41264']
u3668	u3672	m242	['L41266', 'L41267', 'L41268']
u3668	u3672	m242	['L41270', 'L41271', 'L41272']
u3668	u3672	m242	['L41274', 'L41275', 'L41276']
u3668	u3672	m242	['L41279', 'L41280', 'L41281']
u3668	u3672	m242	['L41286', 'L41287', 'L41288']
u3668	u3672	m242	['L41360', 'L41361']
u3668	u3672	m242	['L41414', 'L41415', 'L41416', 'L41417']
u3668	u3672	m242	['L41426', 'L41427']
u3668	u3672	m242	['L41430', 'L41431']
u3668	u3672	m242	['L41473', 'L41474']
u3669	u3675	m242	['L41190', 'L41191']
u3669	u3675	m242	['L41212', 'L41213']
u3669	u3675	m242	['L41225', 'L41226', 'L41227']
u3669	u3675	m242	['L41230', 'L41231']
u3669	u3675	m242	['L41304', 'L41305']
u3669	u3675	m242	['L41307', 'L41308', 'L41309']
u3669	u3675	m242	['L41322', 'L41323']
u3669	u3675	m242	['L41324', 'L41325']
u3669	u3675	m242	['L41330', 'L41331']
u3669	u3675	m242	['L41376', 'L41377']
u3669	u3675	m242	['L41436', 'L41437']
u3669	u3675	m242	['L41438', 'L41439']
u3669	u3675	m242	['L41464', 'L41465', 'L41466']
u3669	u3675	m242	['L41468', 'L41469', 'L41470']
u3669	u3675	m242	['L41562', 'L41563']
u3669	u3675	m242	['L41564', 'L41565']
u3669	u3672	m242	['L41566', 'L41567', 'L41568']
u3669	u3672	m242	['L41569', 'L41570', 'L41571', 'L41572']
u3669	u3672	m242	['L41623', 'L41624']
u3669	u3674	m242	['L41488', 'L41489', 'L41490', 'L41491']
u3669	u3674	m242	['L41501', 'L41502']
u3669	u3674	m242	['L41506', 'L41507']
u3669	u3674	m242	['L41546', 'L41547', 'L41548']
u3669	u3674	m242	['L41549', 'L41550']
u3669	u3674	m242	['L41552', 'L41553', 'L41554', 'L41555', 'L41556', 'L41557', 'L41558']
u3671	u3672	m242	['L41069', 'L41070', 'L41071', 'L41072', 'L41073', 'L41074']
u3673	u3675	m242	['L41448', 'L41449']
u3673	u3675	m242	['L41457', 'L41458', 'L41459', 'L41460', 'L41461', 'L41462']
u6868	u6871	m459	['L415077', 'L415078']
u6868	u6871	m459	['L415107', 'L415108']
u6868	u6871	m459	['L415111', 'L415112']
u6868	u6871	m459	['L415134', 'L415135']
u6868	u6871	m459	['L415199', 'L415200']
u6868	u6873	m459	['L415079', 'L415080']
u6868	u6873	m459	['L415087', 'L415088', 'L415089']
u6868	u6873	m459	['L415143', 'L415144']
u6868	u6873	m459	['L415156', 'L415157']
u6868	u6873	m459	['L415166', 'L415167']
u6869	u6872	m459	['L414889', 'L414890']
u6869	u6872	m459	['L414915', 'L414916']
u6869	u6872	m459	['L414917', 'L414918', 'L414919']
u6869	u6872	m459	['L414921', 'L414922', 'L414923', 'L414924', 'L414925', 'L414926', 'L414927']
u6869	u6872	m459	['L414928', 'L414929', 'L414930']
u6869	u6872	m459	['L414931', 'L414932', 'L414933']
u6869	u6872	m459	['L414973', 'L414974']
u6869	u6872	m459	['L414979', 'L414980']
u6869	u6872	m459	['L414981', 'L414982', 'L414983', 'L414984', 'L414985', 'L414986', 'L414987']
u6869	u6872	m459	['L414989', 'L414990']
u6869	u6872	m459	['L414992', 'L414993', 'L414994']
u6869	u6872	m459	['L415042', 'L415043']
u6869	u6872	m459	['L415044', 'L415045', 'L415046']
u6870	u6874	m459	['L415012', 'L415013']
u6870	u6874	m459	['L415015', 'L415016', 'L415017', 'L415018', 'L415019']
u6871	u6873	m459	['L415075', 'L415076']
u6871	u6873	m459	['L415090', 'L415091']
u6871	u6873	m459	['L415099', 'L415100']
u6871	u6873	m459	['L415109', 'L415110']
u6871	u6873	m459	['L415197', 'L415198']
u7255	u7258	m490	['L467939', 'L467940', 'L467941']
u7255	u7258	m490	['L468029', 'L468030']
u7255	u7258	m490	['L468031', 'L468032']
u7255	u7258	m490	['L468033', 'L468034', 'L468035', 'L468036', 'L468037', 'L468038']
u7255	u7258	m490	['L468039', 'L468040']
u7255	u7258	m490	['L468087', 'L468088']
u7255	u7258	m490	['L468089', 'L468090', 'L468091', 'L468092', 'L468093', 'L468094']
u7255	u7258	m490	['L468106', 'L468107']
u7255	u7258	m490	['L468158', 'L468159']
u7255	u7257	m490	['L467784', 'L467785', 'L467786', 'L467787', 'L467788']
u7255	u7257	m490	['L467805', 'L467806', 'L467807']
u7255	u7260	m490	['L467773', 'L467774', 'L467775', 'L467776', 'L467777']
u7255	u7260	m490	['L467778', 'L467779', 'L467780', 'L467781', 'L467782']
u7255	u7260	m490	['L467800', 'L467801']
u7255	u7260	m490	['L467809', 'L467810']
u7255	u7260	m490	['L467815', 'L467816']
u7255	u7260	m490	['L467818', 'L467819', 'L467820']
u7255	u7260	m490	['L467821', 'L467822', 'L467823']
u7255	u7260	m490	['L467824', 'L467825', 'L467826']
u7255	u7260	m490	['L467827', 'L467828', 'L467829']
u7255	u7260	m490	['L467851', 'L467852']
u7255	u7260	m490	['L467856', 'L467857']
u7255	u7260	m490	['L467861', 'L467862']
u7255	u7260	m490	['L467890', 'L467891']
